"","transcript_id","RNA_WT_rep1","RNA_WT_rep2","RNA_WT_rep3","RNA_pbp1d_rep1","RNA_pbp1d_rep2","RNA_pbp1d_rep3","RNA_pab1d_pbp1d_rep1","RNA_pab1d_pbp1d_rep2","RNA_pab1d_pbp1d_rep3","RPF_WT_rep1","RPF_WT_rep2","RPF_WT_rep3","RPF_pbp1d_rep1","RPF_pbp1d_rep2","RPF_pbp1d_rep3","RPF_pab1d_pbp1d_rep1","RPF_pab1d_pbp1d_rep2","RPF_pab1d_pbp1d_rep3","CDS_WT_rep1","CDS_WT_rep2","CDS_WT_rep3","CDS_pbp1d_rep1","CDS_pbp1d_rep2","CDS_pbp1d_rep3","CDS_pab1d_pbp1d_rep1","CDS_pab1d_pbp1d_rep2","CDS_pab1d_pbp1d_rep3"
"1","YMR056C_mRNA",212.39,236.22,154,309.08,250.33,198.62,393.48,305.28,267.26,5.02,5,4,12,13.87,8.06,27.03,14,7,5,5,4,9,12.86,8,25,12,7
"2","YBR085W_mRNA",398,498,410,882.69,945.99,704,506,550,517,78.58,55.92,51.33,153.49,129.54,132.81,85.53,100.62,34.72,75.79,54.84,49.59,142.42,119.77,124.91,83.73,98.82,34.92
"3","YJR155W_mRNA",543,576.98,460.24,747.52,604,540.05,1061.65,2754.36,2134.29,0,0,0,1,1,1,0,3.88,2,0,0,0,1,1,1,0,1,2
"4","YNL331C_mRNA",770.46,869.02,699.41,1139.08,895.51,847.61,1451.86,2376.06,2042.27,0,1.01,0,2.65,1,0,4.01,8.52,3.01,0,1,0,1.49,1,0,4,7,1
"5","YOL165C_mRNA",36.1,43.08,24.95,30.81,23.31,21.57,224.05,408.31,289.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","YCR107W_mRNA",1467.6,1578.41,1226.13,2075.73,1728.65,1496.27,1660.69,3155.54,2359.08,1.37,0,1,1.35,1.02,1,0,6.26,2,1.52,0,0,1.51,0,0,0,3.13,0
"7","YDL243C_mRNA",381.29,437.3,326.36,592.65,448.29,410.04,647.56,1664.67,1050.96,2.7,3.81,5.75,3.41,6.07,1,3.28,10.15,4.98,0,0,0,0,0,0,0,0,0
"8","YNL141W_mRNA",11246.02,12941.48,10972.73,13079.99,12158.16,10639.96,4511.39,4444.04,6040,1127.15,1364.11,1282.52,1179.08,1549.71,1330.34,443.48,732.59,361.95,1091.99,1330,1245,1086,1490,1282,428.89,703.82,338.91
"9","YHR047C_mRNA",21555.03,23819.11,20861.71,26092.32,27281.9,20972.53,18561.33,17379.95,15939.71,2046.81,2696.14,2690.78,2304.1,3805.51,2705.37,1748.69,3608.72,992.03,1953.84,2583.51,2561.03,2103.17,3619.95,2579.07,1660.98,3426.35,930.67
"10","YBL074C_mRNA",1325,1465,1193,1962,1590,1495,1890,2285,2178,56,44.58,58,60,91,76,73.03,129.24,66,51,42,54,50,86,69,65,123.27,50
"11","YKL106W_mRNA",10476,11511.9,9534.99,13046.96,10847,9790.27,6756.92,6179.98,6744,464.02,504.19,529.04,522.12,617.04,629.84,231.08,342.13,144.01,447,493,511,485,593.01,602,221,323,138
"12","YLR027C_mRNA",42946.35,43425.02,36677.65,59912.87,51696.56,43056.77,88416.96,61436.15,74326.28,3630.44,3299.11,3181.66,5159.14,4395.59,3527.38,6907.13,7293.54,4081.82,3420,3084,2969,4662,4069.21,3238,6456,6517,3535.97
"13","YBR236C_mRNA",3926.48,4389,3525,4991.16,4618,3660.01,6029.99,5026,4622,254.48,252,277.11,316.24,350,328.92,481.4,544.07,216.99,244.96,240,266,291.37,334,306,454,512,194
"14","YKL112W_mRNA",11696,10956.02,9193.66,14106.9,9927.01,9834.03,9880.96,7795.05,12004.48,392.84,416.62,483.42,567.88,464.03,547,297.08,392.94,229.4,366.2,391.94,458,492,445,517,275,369,205
"15","YMR072W_mRNA",9183,9568,8005.75,11778.19,9906.01,8736.88,14219.91,14289.83,14512.99,310.04,296.11,259.73,616.01,375,294.8,599.98,707.1,306.93,267,271,229,465,323,239,492,606,229
"16","YJR108W_mRNA",143,160,104,216,173,161,299,478,452,0,1,0,0,0,0,1.9,3,4,0,1,0,0,0,0,0,3,3
"17","YCR088W_mRNA",23951.04,25850.62,22186.33,31161.15,33292.31,25574.04,39609.34,40013.43,33572.65,614.82,668.02,670.36,1156.39,1143.41,931.1,1604.66,2140.46,705.7,582,635.95,645.97,1027.82,1071,870.97,1518.93,2020.9,648.94
"18","YOR239W_pre-mRNA",18326.71,19342.25,17621.85,22882.32,21863.87,17838.2,14263.62,13089.47,13943.92,422.28,353.01,335.77,611.7,544.48,412.82,419.78,437.06,181.92,401.6,329.69,321.59,554.41,514.85,382.28,410.58,402.23,160.69
"19","YNR033W_mRNA",7057,8045,6829,7930,7414,6440,5774,8758,7781,284.75,321.09,401.29,270.53,343.01,305.08,167.32,338.66,117.89,275,314,390,246,327,286,160,319,103
"20","YMR289W_mRNA",3987,4180.01,3459,5089,4422,3974,6601.45,8804.33,8015,104.77,97.09,99.36,125.33,135.66,156.45,141.22,177.4,116.27,101,95,97,123,126,151,139,167.87,109
"21","YER045C_mRNA",3865.94,4148.99,3181.13,4984.1,4245.09,3762.91,8162.51,10401,11478.91,28.06,30.01,22.01,38.03,37.28,34.06,64.26,67.3,39,28,24,20,33,33,33,58,56,34
"22","YGR037C_mRNA",19848,21388.73,17318.77,27629.8,22734.06,20717.14,19199.42,22976,18681,939.01,904.02,860.07,1635.88,1239.04,1359.61,998.32,1629.72,628.21,884,844,817,1466,1159,1277,913.97,1471.88,576
"24","YLR131C_mRNA",9819.95,10649,9040,13092.98,11490.01,10387.24,12132.22,19341.01,18416.04,293.19,312.89,288.4,352.56,392.82,300.03,274.2,329.86,173.79,277,290,272,303.03,367.02,281,256,290,144
"25","YLR144C_mRNA",5311,6051.95,4999,6674,6613,5356,6422,8729.16,7516.73,242.94,270.02,318.95,207.07,371.35,288.06,199.05,340.2,109.19,235,257,312,194,361,274,193,319,102
"26","YJR083C_mRNA",1598,1791,1404,2115,1819,1652,2649,2074,2959,47,53.01,51.98,103.01,68,58.02,108.02,92.04,45.04,45,51,50,90,62,55,102,86,39
"27","YBL015W_mRNA",2346,2718.83,2191.5,2800,3018,2122,1827,2341,1952.99,297.44,384.45,405.14,295.97,526.71,413.2,166.99,318.26,81,285,366,392,271,507,391,154,304,72
"28","YDL203C_mRNA",6531,7211,5854,7448.01,6113.97,5488,6435.86,9296.55,8262.01,89.03,72.04,91.02,100,103.05,84,55.3,77.01,51.91,82,69,91,88,99,81,54,72,45
"29","YPL267W_mRNA",1708,1846,1522,2044.04,1680.95,1552,2193,2404,3237,85,77.03,83.1,84,91,79,119,124.71,56,81,71,79,76,85,75,113,122,53
"30","YLR304C_mRNA",50161.11,57040.01,46048.42,47010.4,47838.36,36656.22,56085.91,86991.02,71204.25,3830.96,5177.34,5133.86,3253.54,5195.26,4000.18,4053.66,13317.26,4329.75,3661,4951.09,4919.47,2973.08,4960.03,3800,3877,12694.99,4052
"31","YJL200C_mRNA",23630.51,25569.4,20898.95,30581.33,32397.02,25278,15609.06,23484.99,24949.81,876.44,1060.98,1084.01,1059.3,1596.37,1303.45,528.42,1436.37,536.23,836,1019.99,1048,966.29,1509.98,1242.99,514,1357,500
"32","YKL192C_mRNA",19525.36,21187.11,16946,25293.87,20053.96,19787.33,41668.03,35356.44,30692.11,597.21,653.69,551.99,872.3,786.13,572.04,1620.43,1931.78,628.59,561,617.04,518,776,743,521,1527,1773,552
"33","YAL054C_mRNA",954,1013,731.04,1095.44,853.95,804.01,1910.03,2483.96,2442.21,6.99,4.6,5.54,5.66,7.57,6.85,17.48,61.27,27.95,3,1,3,3.71,4,4,15,49.01,25.01
"34","YLR153C_mRNA",86559.72,103709.78,86946.47,111296.63,123595.97,91435.08,72274.51,85565.82,71313.25,3851.83,5270.19,5883.63,4383.39,8017.33,6312.41,3317.72,7693.25,2518.81,3714.99,5090,5679.98,4006,7727,6089,3210,7400.99,2374.99
"35","YFL039C_mRNA",214122.81,225603.48,189304.67,254688.35,237350.51,193333.86,307141.18,206800.56,163354.75,38429.53,45422.37,49771.73,50718.81,60642.26,51721.77,53718.92,65625.64,25568.22,37049,43762,47921,46475.99,58124.97,49244.03,51759.05,62659.92,24057.97
"36","YFL039C_pre-mRNA",1524.43,2082.17,1301.97,2161.34,1695.55,1097.04,1787.16,1535.53,1083.46,5.95,17.85,11.31,11.93,0,0,11.92,0,0,0,0,0,0,0,0,5.95,0,0
"37","YDR448W_mRNA",2171.13,2378.1,1833.78,2734.04,2492.92,2210.68,2761.7,3028.03,2883.38,147,213.5,238.02,221.19,266.8,257.74,174.84,184.03,104.15,142,204,226,204,254,251,167,173,93
"38","YMR184W_mRNA",2573,2712,2132,3751,2837,2842,9033,5171.08,5377.01,112.04,97.12,107.06,197.11,145.15,125.54,523.96,439.25,230.03,101,85,90.69,178,128,107,495,376,198
"39","YKL206C_mRNA",3316.04,3589.23,2924,4683.21,3961,3520,6491.98,3687.02,4797.01,351,354,368,442.57,457.92,406.99,597,603.99,344.08,335,342,352,412,432.48,385,563,573,329
"40","YAR015W_mRNA",4769,4887.99,4045.66,6544,5917.05,5229,12700,8797.99,9827.05,551.62,466.03,494.12,798.09,773.04,679.92,1443.35,1450.26,656.34,508,428,451,673,700,622,1307,1330,558
"41","YNL220W_mRNA",6482,6594.78,5553,9049.87,8854,6886,15958.44,14436.89,12611.02,840.13,879.31,878.02,949.01,1386.94,1194.2,1707.62,2658.86,836.9,805,841,852,871,1324,1144,1643.99,2545,775
"42","YLR359W_mRNA",12153.92,13272.87,11168,15805.03,15848.79,12219.84,14488.05,9659.4,10214.98,800.1,744.07,768.71,1081.84,962.62,828.34,863.78,789.64,432.96,768,722,744,993,908,784,839.99,749.02,405.37
"43","YLR028C_mRNA",24055.34,26089.93,22243.99,29006.26,27573,22274.04,19097.66,15724,18067.94,805.11,961.95,1103.41,1042.31,1287.2,1152.74,752,1055.27,445.83,776.07,907,1058,951,1209.99,1076,721,994,408
"44","YMR120C_mRNA",2441.02,2678,2148,2930.69,2704,2411,14220.01,17711.94,16876,129.06,162.17,121.01,129.95,173.69,128.13,792.53,1619.5,484,121,159,114,119,163.93,120,771,1547,445
"45","YOR128C_mRNA",2593,2790,2111,4272,3327,2851,5517.97,9954.17,8533,10.87,19.04,10,16.26,10.96,5.99,27.03,40.52,28.83,5,11,4,10,6,3,24,18,15
"46","YGR204W_mRNA",64361.02,72205.34,60574.06,72888.23,75258.98,57702.07,61231.74,57873.81,51039.06,2244.09,2412.22,2471.23,2962.11,3419.64,2631.29,2535.11,3388.19,1252.09,2133,2301.51,2373.71,2722.86,3258,2504.97,2428.54,3213.07,1156.02
"47","YMR300C_mRNA",9951.03,11828.78,10421,11932.98,11562,9945,9981,9408.62,10655,541.08,709.08,742.03,529.43,815.62,750.13,459.79,606.3,270,521,683,702,470.94,769.98,709,432.99,564,248
"48","YGL234W_mRNA",27452,31731.37,26580,35933.9,37204.86,28468.87,37787.47,38262.08,29048.18,1570.29,1835.39,1763.64,2112.65,2773.39,2204.67,2431.26,3708.5,1170.77,1482,1746,1677,1937.9,2624.99,2114,2323,3536,1097
"49","YGR061C_mRNA",48580.98,56401.89,47880.85,51602.88,59396.41,43963,44235,48486.16,31994.24,5407.05,6925.44,7289.58,4832.44,8748.6,6796.21,4747.92,10184.64,2295.21,4572,5885.01,6354,3989,7316,5965,4093.98,9278.99,2063
"50","YDR408C_mRNA",2231.95,2254,1755,2855,2305,2037,3603,2755,3236,291.15,241,235.49,474.03,324.03,293.1,518.29,623.12,372.02,276,235,221,435,308,278,494,583,339
"51","YCL058W-A_mRNA",906,933,766,1145,992,804,2250,2201.59,3161,42,33,22,45,28.1,48,104.99,93.03,40,21,17,11,24,15,26,59,51,23
"54","YMR083W_mRNA",18519.18,20179,16905.82,24552.14,23044,19234,23697.75,22776.15,21611.68,1330.58,1626.85,1559.6,1888.47,1965.22,1866.96,2235.9,3191.51,1364.06,1264.04,1562.92,1481.53,1708.99,1856.43,1762.01,2106.08,2996.14,1231.06
"55","YGL256W_mRNA",5687.55,6445.75,4585.93,7063.92,5536.73,4807,6312.06,11144.6,8613.01,64,60.8,40.02,64.02,85.04,51,33.04,175.08,53,62,50,35,59,83,46,33,164.56,42
"56","YBR145W_mRNA",644,705,531,790,742,594,979,795,780,49.01,57.2,43.37,68.36,59.06,79.04,85.79,98.2,57.37,43,54.19,42.25,58.63,54.05,72.02,77.76,94.22,56
"57","YMR318C_mRNA",16378.91,17147.24,14330.02,19667,17380.63,14393,19942.99,21350.24,16996.13,1635.15,1576.53,1517.46,1736.42,1924.82,1810.28,2165.93,3398.98,1282.66,1583,1523,1453,1603,1832,1737,2053,3200.01,1176.06
"58","YCR105W_mRNA",89,79,61,182,135,116,182,191,148,4,1,0,7.01,3.4,3.96,5,10,7.28,4,1,0,6,3,3,4,9,6
"59","YMR009W_mRNA",3655,3843,2914,5368,4095,3911,8535.84,8543,7837,286.07,312.04,296.92,440.12,465,427.5,762.42,1079.04,398.67,270,297,280,390,437,405,725.03,1016,365
"60","YDR226W_mRNA",39429.36,38884.66,32746.71,49673.28,41909.84,36148.23,46419.88,40843,36190.63,3082,3112.07,2765.83,3010.3,4100.99,3335,4107.69,5687.84,1635.12,2950,2980.03,2656.98,2782,3928,3178,3931,5421,1523
"61","YER170W_mRNA",1793,1898,1511.98,1929.68,1593,1332,1705,1358,1794,114.01,134.01,118.08,151.2,118.08,108.23,121.8,95.82,69.01,104,121,110,133,104,104,108,86.01,57
"62","YJR105W_mRNA",46767.03,47878.3,38658.2,63228,55037.27,45431.03,57565.92,54411.14,51914.6,3857.39,4365.78,4967.37,5474.21,6591.63,6028.71,5458.35,9405.2,4402.85,3716,4186,4732,5041.99,6282,5717,5202,8191,3768
"63","YCR011C_mRNA",10375.98,10339.01,8836.91,14205.72,12664.98,10065.03,15147,12378.96,11446,610.21,467.59,531.29,816.09,860.02,642.23,848.12,936.53,388.05,581.09,445,508,743,828,594,797,886,350
"64","YDR216W_mRNA",3269,3541.99,2596,3613.97,3165.17,2787.78,11673.73,15735.78,15108.84,90.04,79.4,61.89,36.17,69.15,57.19,462.95,987.38,284.06,84,75.01,57,32,66,55,439.04,916,263.02
"65","YCR010C_mRNA",15,36,23,50,35,23,95,126,112,3,1,1,4,1,1,4,7.37,2,3,1,1,3,1,1,3,7,2
"66","YDL239C_mRNA",1318,1442,1116,2128.95,1800,1524,2320,4034,2970.98,4.36,4,3,0,7.12,4,1,9.14,3.99,3,2,2,0,3,3,1,4,0
"67","YLR227C_mRNA",953,1105,820,1431,1130,1094,2011,3475,2912.87,21.2,29.04,19,44.02,36.13,35.04,20.02,42.07,18,13,18,9,24,24,21,13,28,10
"68","YMR064W_mRNA",5273.2,6063.24,4882.73,6760.45,5582.71,5199.9,8109.55,13843.33,12136.69,120.15,91.01,69.51,63,83.08,75,68.74,99,35,116,88,65,55.01,76,73,66,85,28
"69","YMR282C_mRNA",2985,3094.68,2502,3711.96,2817,2552.64,3997,2345,2730,87.06,101.38,102.97,88.81,127.04,93.2,71.06,100.13,33,79,97,97,82.94,119,83,69,95,28
"70","YPL005W_mRNA",961.23,930,776,1273,1085,910,1444,1299,1348,30,26.1,31,32.55,36.01,30.67,41,34,22,29,25,30,31,36,28.01,40,32,21
"71","YLR040C_mRNA",2392.54,2610.37,2204.04,3285.75,2716,2442.04,5303.06,7760.83,9004.38,68.07,84.02,104.35,104.37,134.7,95.83,146.99,230.01,127.99,59,70.99,90,87,113.98,86.99,125,205,107
"72","YEL052W_mRNA",3067.01,2765.9,2399,4212.03,3127,2456,3421.99,2592.95,2743.02,190,159.91,168.02,205.3,156.03,136.09,157.04,167.05,93,182,153.99,163,182,146,126.04,151,157,87
"73","YLR397C_mRNA",10808.92,12549.04,11116.02,11933.04,12103,10399,7992.99,10799.46,10533.06,324.48,435.51,430.73,344.82,453.95,399.63,204.1,289.1,164.83,310.93,420,407,304.68,426,376,196,259.05,144
"74","YER017C_mRNA",11708.05,11329.04,9586.96,12163,9646,7983,10463.98,10877.76,9497,334.06,301.08,331.47,381.66,307.32,235.11,214.02,254.34,99.01,318,286,309,348,293,229,209,236,89
"75","YOR129C_mRNA",4924,5769,4677,6948,5949,5551.89,7560,8582.01,8044,63,50.01,62.06,59.03,80.1,76.17,79.95,91.66,46.56,61,50,59,51,72,70,72,85,42
"76","YDR085C_mRNA",2293,2569,1835,3355.04,2811.4,2484,6629,8734.44,6952,49,67.78,44.04,104.28,55.61,57.14,187.24,171.61,60.02,48,62,40,101,52,53,177,151,57
"77","YGL071W_mRNA",12292.38,12824,12430,15794.01,12807.2,12712.52,12521,17570,18028.04,149.04,122.07,142.05,211,158.33,119.02,105.01,151,92.01,142,114,137,193,149,111,97,138,71
"78","YPL202C_mRNA",4387,4746.97,3968,4882,4160,3814,5860.28,6865,6327,178.81,146.96,127.84,197.37,129.3,114.03,212.86,222.35,93.04,171,137,123,183,121,105,201,207,82
"79","YNR044W_mRNA",13899.91,15866.7,13683.42,20103.81,19963.36,15719.8,22643.18,64222.52,43670.87,343.13,316.32,262.75,515.35,455.22,295.25,66.05,214.69,96.02,327,293,243,476,421,276,64,187,83
"80","YGL032C_mRNA",3428,3952.72,2957,4619.66,3545.89,3898,2776,4109.49,3360.11,166,183.89,114,249,199.01,139,102.01,191,65.98,153,172.98,103,222,174,123,90,168,52
"81","YPR021C_mRNA",4833,5719,4409.88,6265,5300,4702.4,5311.58,8851.01,6513.11,112.37,153.34,153.86,109.03,191.03,195.42,84.68,185.54,59.18,105,146,144,104.24,184,186,76,173,54
"82","YDR524C_mRNA",8588,9850,7890,11002.01,8875,8370,11751.37,16924.97,14723.7,129.08,130.02,151.12,192.19,165.99,163.3,118.4,149.44,71.08,124,124,142,165.01,157,152,114,137,69
"83","YIL044C_mRNA",7056,7140,5981,9709.81,7968.53,7416,10091.61,5635,8695.53,424.88,485.65,396.89,735.57,706.07,546.84,676.51,598.67,350.48,408.96,475.88,379.95,689.46,687.88,524.96,653.82,577.22,333.67
"84","YCL025C_mRNA",8664.95,8269.95,6848,14166.23,13939,9970.05,8653.47,8049.33,6580.81,1119.04,1096.03,1011.28,1696.76,2020.22,1602.97,966.97,1436.86,495.32,1032.22,1018.47,936.97,1519.79,1869.65,1504.98,907.9,1290.06,409.88
"85","YBR132C_mRNA",1958.98,1862,1509.13,2476,2009,1677,4959.54,4590.94,4627.64,74.01,77.02,67,82.11,87.18,69.05,148,139.04,72,69,71,66,75,79,65,143,128.02,68
"86","YFL055W_mRNA",493,589,378,725,513,496,1714.99,2947.98,2017,11.01,7,9.01,8.01,7.01,7,29.84,28.06,15.15,11,5,9,6,7.01,6,25,23.47,12
"87","YFL030W_mRNA",334,314,241,406,329,270,589,573,568,5.47,6.26,6.39,18.61,8.44,7.06,11.02,24.07,14,5,6,4,16,8,7,11,21,13
"88","YDR214W_mRNA",23030.99,23805.96,19237.03,27831.36,25734.88,20030.69,29482.34,17130.03,20642,873.08,734.97,687.15,1232.17,993.08,770.08,1199.03,994.02,636.19,805,672.99,625.01,1100,880,674.94,1121,858.98,548
"89","YOR023C_mRNA",10380.98,11055,9437.17,12561.55,11139.05,9973,18650.99,24225.51,23837.2,303.08,320.13,313.77,367.87,468.76,293.05,415.04,699.87,201,292,306,301,335.92,440,282,390,644,173
"90","YCR082W_mRNA",3214.99,3721.96,2680.69,4988.19,4159,3518.87,5252.03,5030,4185.01,301.99,335.29,243,695.11,484.21,458.09,632.05,942.11,307,290,323,228,654,471,437,609,905,292
"91","YLR109W_mRNA",39803.92,40953.18,32850.95,43996.57,32039.86,28667,53299.75,73885.75,59779,5797.83,5936.12,5620.08,6579.51,5667.4,5365.22,8288.58,14686.54,6334.83,5470,5583,5300,5773,5235,5023.02,7626,12853,5271.14
"92","YHR093W_mRNA",0,0,1,2,0,3,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","YNR074C_mRNA",0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","YAL046C_mRNA",1218,1325,871.99,1739,1312.6,1087,2038.24,1936,2074,60.01,40.99,35,90.05,82,87.99,113,205.15,78.91,58,37.99,32,75,76,81,106,185.97,68
"95","YER087W_mRNA",1810,2004,1702,1993,1857,1516,2106,1989,1926,188.28,244.19,249.12,156.14,220.3,205.05,147.35,243.12,78.87,163,194,211,133,182,162,128,200,63
"96","YER093C-A_mRNA",940.46,987.79,769.06,1035.67,783.7,782.59,2052.85,1419.19,1748.55,15,19.84,21.09,20.05,23.03,27,53.04,47.17,20.28,15,19,19,17,19,27,46,36,24
"97","YER093C-A_pre-mRNA",46.54,44.21,26.94,71.29,59.3,47.41,83.15,62.81,53.45,0,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0
"98","YGL160W_mRNA",5202.1,4768.98,4061,7214,5519.91,4651.02,8747.27,7428.03,7356,271.4,177.74,247.97,364.71,300.67,274.54,315.59,359.13,209.72,267,170,236.3,321.93,285,254,295.9,337,192.2
"99","YHL021C_mRNA",3953.68,4722,3680,4978.84,4967,3646.11,6759.03,5355.02,6127,227.04,292.23,267.01,308.08,352.03,294.08,403.06,465.43,218.79,219,276,257,280.02,327,279,388,440,200.99
"100","YHR198C_mRNA",2229.18,2474,1787.97,2593,2006,1766.98,3847.95,3232,3603.68,220.12,196,177,266.71,197.03,143.16,286.01,271.06,131.31,208,184,169,243.98,184,134,268,250,120
"101","YIL087C_mRNA",839.78,1012.9,647.77,1207.43,963.3,815.55,2193.03,1900.08,2132.73,52,61,56.07,130.18,77.78,78.97,184.84,207,99.39,34,43,39,76,48.04,49,127,132,62.93
"102","YAL049C_mRNA",5226,5731.06,4685.01,7558,6854.62,6022,12764.02,10838,12022.02,678.05,613.92,644.07,934,931.07,831.18,1577.93,2004.46,806.89,657,590,621.11,853,888,805,1512,1924,731
"103","YIL158W_mRNA",3759,3638.99,3140,5111,3608,3467.18,5772.97,4801,7487,43,21.02,39.06,54,55.02,39.19,60.06,49,28.03,40,20.36,37,49,51,33,53,44,26.37
"104","YIR003W_mRNA",7747,8429.04,7060,8692,8067,6557,6832,9542.36,8814.98,260,249.17,254.08,361.74,316.31,260.64,261.11,301.03,149,252,238,239,328,290.99,240,244,268.97,143
"105","YJL046W_mRNA",2193,2446,1917,2741,2250,2035,3016,2798,3509.31,70.83,61.42,54.06,74.01,60.57,76.97,70.97,71.77,58.36,67,58,52,68,57,75,68,67,52
"106","YJL131C_mRNA",866,926,718,1063,895,717,1345,1260,1591,14,17.02,24.66,11,12,24,15.03,23,5.3,13,17,23,10,9,21,15,20,4
"107","YJR080C_mRNA",4094,4492,3623,4636.56,4009,3344,4878,2967,3439,294.99,285.07,399.35,347.01,376.58,361.66,300.64,392.05,175.11,168,164,236,170.99,217,202,190,234.01,102
"108","YJR100C_mRNA",1778,1971,1493,2485,1911,1653,2377,2086,2653,57,52.77,69.09,68.01,58.01,53.03,75.06,105.87,58,53,50.98,68,61,54,46,71,100,55
"109","YKL037W_mRNA",23,25.74,22.19,50.23,40.27,29.47,97.06,161.4,165.63,0,0,0,0,0,0,0,3.01,2,0,0,0,0,0,0,0,1,1
"110","YKR074W_mRNA",2843.17,2919.82,2365.78,3963.85,3121.79,3001.65,6123.09,3819.44,4101.85,175,194,169.05,412,238,268.99,765.99,546.97,251.86,161,186,159,373,223,247,736.01,503,240.95
"111","YBR108W_mRNA",6814.12,7035.03,6131,8088.97,7753.98,6385,10377.97,17425.78,16456,198,123.57,139.57,219.04,191.52,151.17,306.15,524,168.99,178,119,131,192,182,142,292,493.99,147
"112","YML050W_mRNA",535,535,440,536,455,401,695,1078,1009,16,20.03,14,15,16.01,8,16,25,9.02,13,19,12,14,15,7,16,20,5
"113","YML087C_mRNA",216,232,176,262,228,192,417,327,357,8,7,8,20,8,7.04,15.03,24.07,6.01,7,6,7,18,8,7,15,21,4
"114","YMR003W_mRNA",856,965,723,1154,911,825,2562.94,1176.01,1533,29.03,24,24,36.01,27.01,23,69,48.63,27,27,23,23,34,27,22,66,46,23
"115","YMR157C_mRNA",1379,1561,1170,1322,1119,1031,2554,2111.87,1953,74.02,65.3,72.06,43.01,46.88,52.02,123,154.15,88.77,69,60,64,38,43,45,111,138.27,77
"116","YOL053W_mRNA",1566,1629.01,1290,2020,1566,1407,2776,2067,2417,27.01,49.01,48,43,58.19,62.02,66.06,102.01,46.21,25,43,43,37,57,61,58,97,43
"117","YBR194W_mRNA",682,718,521,810,700,664,1914.99,979,963,27,23.43,14,25,16.28,18,91.02,52,17,21,20,12,25,12,17,86,43,16
"118","YOR215C_mRNA",1781.24,1899,1516.02,2040,1665.43,1535,3718.08,2789.42,2977.98,154,128.74,113,187.01,158,132,277,252,85,146,122,109,171,148,122,263,242,80
"119","YPL158C_mRNA",12019.39,12780,10882.58,13707.99,12527.86,10493.98,7545.1,9386,8817.01,409.05,426.15,415.13,618.27,395.15,382.12,320.07,340.94,145.1,372,387,381,562,367,347,296,297,129.28
"120","YPR004C_mRNA",6334,6913,5366,8573.01,6975,6360,9322.98,6877.5,7286.94,462.18,495.3,425.99,729.01,616.97,583.29,789,866.41,399.58,445,473,411.98,675,591,564,754,815,375
"121","YHR199C_mRNA",4662.92,5000.28,3700.3,6707.39,5274.25,4690.19,6106.21,7569.6,7084.17,336.98,247,295.81,321.08,386.73,349.72,286.26,552,212.06,314,227,274,286,354,333,233,502,170
"122","YDL237W_mRNA",7854,7278,6149,12795.89,9458,8101,11804.68,6875,7842.24,409.31,414.13,413.65,663.08,581.98,453.99,389.03,477.91,252.04,390,391,390,591.52,543,420,370.24,431.99,215
"123","YDR063W_mRNA",3543.39,3752,3065,5082.93,4197,3627.32,5586,3419,3827.06,130,136,123.06,293.13,214.98,161.1,310.92,195.01,133.03,92,89,79,210,138,113,250.99,138,93
"124","YER080W_mRNA",13995.49,14038.96,12527.85,19284.93,16704.91,13730.69,11265.01,8737.01,9652.4,356.87,336.61,468.37,544.9,572.88,460.59,301.79,428.31,214.54,328,308,421,475,522,413,276,397,189
"125","YMR092C_mRNA",9004,9908,8574,11311,12055.02,8938,10652,9141.01,8210,702.8,871.41,857.01,1138.79,1277.4,999.6,865.64,1367.44,475.03,672,826,820,1043.03,1221,944,833,1295.07,436
"126","YIL079C_mRNA",4193,4763,3955,5844.21,4989,4795,5535.97,5131,5201.01,96.85,84,77.02,162.11,122.01,95.01,154.64,130.03,61,90,83,73,144,114,90,141,123,52
"127","YDL175C_mRNA",2277,2428,1831,2627,2444,2043,2828.91,2846.2,3176,261.01,260.22,241.02,263.04,290,291.44,270.35,266.02,118.03,250,254,224,245,274,283,262,250,100
"128","YBR059C_mRNA",14477.31,15852.41,13822,18539.16,18567.78,15369.56,16921.54,20108.83,20099.83,315.11,350.18,387.68,488.5,531.92,449.36,408.19,581.55,230.98,294,329,363,431,499,414,367,513,200
"129","YDR264C_mRNA",13252.27,12980.02,12300.9,18115.59,14932,12352.03,11479.04,9597.4,9931.02,598.25,548.15,651.3,907.25,827.33,725.76,521.07,533.47,260.88,573,515,614,820,779,678,498,495,243
"130","YOR034C_mRNA",4822.63,5321,4160.06,6455.99,5733.25,4554,5576.2,8006.02,7453.52,137.18,142.33,150.06,168.1,183.02,143.25,104.84,113.01,67.01,128,129,142.66,151,167,136,102.99,94,58
"131","YOR335C_mRNA",58099.41,66607.98,57660.5,68260.81,77963.05,57099.78,47803.7,40674.95,30136.01,4129.12,4711.71,4876.75,4817.14,6953.01,5110.47,3838.03,6119.83,1423.03,3732,4323,4423,4086.01,6315,4638,3520,5582.99,1261
