"","transcript_id","RNA_WT_rep1","RNA_WT_rep2","RNA_WT_rep3","RNA_pbp1d_rep1","RNA_pbp1d_rep2","RNA_pbp1d_rep3","RNA_pab1d_pbp1d_rep1","RNA_pab1d_pbp1d_rep2","RNA_pab1d_pbp1d_rep3","RPF_WT_rep1","RPF_WT_rep2","RPF_WT_rep3","RPF_pbp1d_rep1","RPF_pbp1d_rep2","RPF_pbp1d_rep3","RPF_pab1d_pbp1d_rep1","RPF_pab1d_pbp1d_rep2","RPF_pab1d_pbp1d_rep3","CDS_WT_rep1","CDS_WT_rep2","CDS_WT_rep3","CDS_pbp1d_rep1","CDS_pbp1d_rep2","CDS_pbp1d_rep3","CDS_pab1d_pbp1d_rep1","CDS_pab1d_pbp1d_rep2","CDS_pab1d_pbp1d_rep3"
"1845","YHR132W-A_mRNA",1578.34,1721,1280,2257,1864,1735.59,6474.79,3886.21,4094,155,148,125.6,240.06,221.07,267.65,791.69,605.99,237.01,150,145,118,225,210,258,762.96,574,213
"1846","YHR187W_mRNA",2498,2842.72,2401,3252,2828.51,2592,3565,2682,4193,505.1,495.29,465,597.46,632.5,512.68,621.04,813.07,478.01,484,474.79,442,561,599,498,596,771,455
"1847","YLR384C_mRNA",31406.63,36184.16,30852.65,40017.61,44152.32,33950.11,26525.02,31168.6,24387.64,1128.41,1439.33,1564.6,1336.83,2220.88,1818.99,1086.1,2135.75,516.01,1093.93,1370.75,1499.78,1230.71,2098.77,1717.67,1035.93,2027.93,467.86
"1848","YJL057C_mRNA",2117,2263.28,1933.96,2838.73,2604.95,2144,3011,4342.28,4496,97.05,96.31,99.03,102.12,147.68,107.28,127.04,177.12,83,91,91.02,92,93.65,139,99.02,123,169,79
"1849","YJR118C_mRNA",1378,1300,1044,1933,1500,1287,2865.34,1244,1900,1675.14,1520.1,1296,1740,1727.14,1390.12,2404.01,2033.33,972.99,1631,1491,1248,1646.99,1669,1338,2350,1974,920
"1850","YBL076C_mRNA",108733.88,120363.1,104869.3,134333.25,139985.79,110431.63,105046.09,89997.41,79286.24,8861.9,11398.13,12477.27,9074.82,15681.84,13615.14,7190.85,14211.76,5097.55,8375,10699,11665,8208,14656,12692,6765.97,13199,4652
"1851","YER086W_mRNA",37054.94,34862.04,30862,48893.52,39229.02,31862,35292.62,28871.65,25721.02,2919.09,2471.7,2775.12,3966.06,3495.1,2906.83,2353,3175.01,1372.05,2781,2371,2665,3610,3316,2750,2237,2987.04,1266
"1852","YMR108W_mRNA",74586.03,82876.89,69908.59,79212.85,82322.28,63216.26,40558.16,39379.71,35226.7,5606.03,5648.73,5353.9,6132.75,7305.94,4857.81,3598.23,5144.24,1490.05,5332.99,5377,5126,5566,6939,4582,3450,4867,1377.99
"1853","YJR016C_mRNA",74834.28,82045.46,69962.55,96766.39,92255.24,76834.59,73941.24,55119.4,73462.93,4790.01,5628.08,6137.1,5739.93,7501.22,7053.45,4806.9,6705.42,3759.38,4581,5423,5896,5310.97,7212,6711,4615,6381,3493
"1854","YLR355C_mRNA",157546.7,174092.94,143789.32,177139.23,161452.54,132986.57,127571.77,67997.59,80824.91,14031.62,15399.88,15025.85,15321.15,18024.08,15342.71,11738.57,10038.96,4545.41,13187,14517.99,14195,13966.99,16955,14503,11238,9329,4172
"1855","YCL009C_mRNA",48477.11,47891.99,35762.95,55643.07,45291.34,38968,43627.01,34987.81,34616,4377.87,4178.58,4019.03,5285.79,5315.52,4966.52,4739.24,7351.65,3146.19,4125,3902,3824,4734,5005,4650,4506,6855,2883
"1856","YGR287C_mRNA",648.98,712.78,551.89,1159.43,954.32,710.67,1555.21,2951.8,2269.03,13.67,23.67,33.92,29.23,31.7,27.68,22.31,122.42,23.26,14.49,23.78,31.55,27.98,29.16,23.61,19.38,112.04,19.5
"1857","YOL157C_mRNA",326.58,345.08,243.83,413.72,290.79,222.33,905.1,1249.71,1074.67,5.35,6.17,5.08,5.1,11.63,12.87,25.59,39.56,19.97,4.12,5.28,0,4.49,12.87,11.34,26.91,28.77,16.26
"1858","YIL172C_mRNA",221.72,213.57,174.64,271.92,265.85,195.5,560.86,863.71,782.04,9,14.13,15.4,16.96,18.38,16.58,14.58,27.17,9.35,7.69,12.47,14.23,14.27,16.99,12.85,12.35,22.87,8.62
"1859","YJL221C_mRNA",221.72,213.57,174.64,271.92,265.85,195.5,560.86,863.71,782.04,9,14.13,15.4,16.96,18.38,16.58,14.58,27.17,9.35,7.69,12.47,14.23,14.27,16.99,12.85,12.35,22.87,8.62
"1860","YJL216C_mRNA",711,807,683,1145.99,1030,930,1481,3726,3453,0,0,1.01,1,2,2,1.07,2,3,0,0,1,1,2,2,1,2,1
"1861","YAR073W_mRNA",9.89,14.87,11.94,113.1,148.78,110.68,1019.51,844.17,755.6,0,2.31,2.47,3.92,40.15,34.18,111.62,351.39,105.18,0.64,0,1.86,4.73,31.63,29.85,96.14,294.92,97.63
"1865","YML056C_pre-mRNA",2194.94,2747.13,1661.58,2546.45,2384.92,2114.45,4014.91,4876.57,2390.09,4.7,84.95,46.95,9.53,127.13,48.7,4.67,70.21,18.29,4.69,84.7,28.1,9.49,112.74,33.03,4.67,32.75,4.55
"1866","YJR094C_mRNA",1013,1078,918,1433,1260,1172.02,1997,2116,3147,13,10,13,27,26.83,14.03,23.04,23.86,10.03,12,8,13,22,24,11,21,22,9
"1867","YJL106W_mRNA",555,667,405,1001,803,795,1977,3953,4035.91,0,0,0,0.97,0,1,2,4.99,3,0,0,0,0,0,1,2,4,3
"1868","YGL192W_mRNA",6,14,7,6,9,8,19,98,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1869","YCR046C_mRNA",3080,3160,2102,3340,2502.13,2021,6687,4556,4751,353.21,335,298.06,469.64,371.96,331.54,1103.44,1430.97,641.49,343,322,288,440.01,348,314,1073,1369,602.99
"1870","YCR071C_mRNA",1435.74,1389.03,1135.99,1331,1139,1091,3124,2396,2670,41,41,31,39.94,37,29,82,86.99,48,39,34,31,38,33,26,77,77,41
"1871","YLR309C_mRNA",6037.16,6512.03,5739,7209.67,7313.07,5742.93,7710,7028.48,7983.99,281.08,288.08,310.41,265.34,372.03,322.45,370.78,466.04,166.4,270.32,279,299,236,351,306,353,430,147
"1872","YJR138W_mRNA",8429.95,9175.88,7919.01,11163.01,10474.82,8996.95,9937.99,10904.68,12733.86,130.01,203.38,194.34,197.49,253.11,242.64,175.24,330.71,148.16,128,194,191.43,184,239,232,166,301,141
"1873","YJL082W_mRNA",7840.99,8586.17,6761.86,8779.74,8406.71,6671.22,11467.86,11781.01,12932.23,272.46,349.2,340.02,253.08,479.09,318.16,408.05,764.11,356,256,338,324,234.02,452,300,389,735,334
"1874","YBR107C_mRNA",1049,1122,935,1442.83,1148,1199,2436,5449,3905,7,2,5,8.01,4.08,12,8.91,24,7,7,1,4,6,4,10,5,14,6
"1875","YGR031W_mRNA",2659,2773,2097,3311,2735,2270,2644.01,2123,2647,212.11,247.03,265.11,353.05,290.59,324.19,216.8,330.34,215.74,129,158,164,198,168,186.01,131,197,117
"1876","YMR150C_mRNA",1429,1555,1213,2088.28,1702.04,1504.82,3173.03,2445,2567,85,99,104.07,110.06,161.66,146.09,200.42,411.02,152,75,92,98,84,143,130,185,371,125
"1877","YMR035W_mRNA",792.44,829,638,1199,798,782,1125,1164,1028,7,16.02,6,25.05,18.79,16,22,30,12,7,11,5,23,9,15,20,27,9
"1878","YIL154C_mRNA",1912,1817,1291,2018,1657,1314,1772,1579,1645,619.24,694.54,785.16,917.02,896.27,765.87,836.27,968.38,507.12,593.99,666,752,848,846,731,808,918,473.01
"1879","YHR148W_mRNA",3915,4253,3527,4413.45,3771,3382,3683,3153,4167,531.69,483.6,394.38,708.27,502.9,356.49,443.45,575.01,214.89,497,443,369,617,460,316,415,533,201
"1880","YNL075W_mRNA",4382,4831,4305,5294.71,4899,4183.01,4478,3072,4265,272.37,279.26,303.41,359.59,403.21,309.01,260.12,276.9,149,252,270,295,316.95,374,300,247,259,136
"1881","YLR413W_mRNA",83714.75,83763.39,73536.67,110018.21,91806.81,75992.88,40999.55,38473.5,49925.42,4626.77,3866.79,3853.56,5762.11,5511.47,4434.49,1795.37,1599.17,1321.15,4465,3709,3723.99,5351.03,5328.99,4238,1745,1505,1235
"1882","YPL099C_mRNA",684,790,573,950,824,662,1520,944,1071,30,13,16,54.07,30,18,74,55,39,29,12,16,49,30,17,71,52,37
"1883","YIR024C_mRNA",656,688,551,807,775.97,632,1289.99,1016.99,1384,14,16.11,20.03,27,32.01,22.03,36,35.03,32,13,14,19,19,24,22,35,33,29
"1884","YDL181W_mRNA",2390.85,2387.03,1726.66,2168.52,1420.43,1414.88,1564.94,1076.83,869.16,108,97,100.08,139.07,78.08,68,107,99.62,29,97,89,88,124,63,61,97,80,22
"1885","YHR046C_mRNA",3009,3170,2654,3464,3358.44,2798,4849,4139,4891,135.01,120,125,180.84,163,160,209,271.06,111.01,128,106,120,162.98,149,147,198,246,102
"1886","YDR287W_mRNA",1777,2011.91,1707,2751.48,2348,2105,4576.84,4034,3912,36,36,50.05,70.01,60.2,64.04,107.01,176.02,104.81,28,26,34,44,39,40,77,94,38
"1887","YNL152W_mRNA",4501.78,4868.97,4143,5801,4747,4584,5243.99,7082.01,6513.1,112.29,125.02,80.33,116.04,104.95,76.02,96.01,86.2,43.88,106,117,73,105,96,68,91,70,35
"1888","YJL153C_mRNA",421.01,536,299,906,1194.08,756,691.89,1179,1368.24,19.42,33.02,34,56.04,139.83,75.08,23.01,87.72,26.01,19,31.01,31,48,133,71,21,82,24
"1889","YDR123C_mRNA",3918,4429,3633,5314.02,4577.08,4138,4395.98,8507,6878,120.03,120.31,105.05,139.59,174.67,126.95,83.14,106.1,63.01,116,117,101,127,161,117,79,96,54
"1890","YOL108C_mRNA",450,479,360,682,498.74,469,877,891,873,19,17,17.01,39,21,30,48,44.73,19,17,17,17,33,21,28,45,40,18
"1891","YGL150C_mRNA",24190.96,26771.08,23087.6,26836.2,27030.48,22280.1,22693.84,24016.75,19225.23,345.01,453.17,537.01,302.24,568.04,450.07,364.45,708.2,174.46,323,427.99,507,267.01,529,422,338,644,148
"1892","YMR204C_mRNA",1368,1515,1131,2021,1604,1581,2016,1826,2391,53.03,56.01,50.69,79.01,72.04,59.03,51.04,74.01,29.06,51,49,46,73,71,54,50,68,25
"1893","YMR163C_mRNA",1612,1821.97,1416.11,2140,1851,1677,3137,2934.16,2533,56.06,57.95,62.89,66.89,65,74,82.98,97.01,47.01,55,54,59,62,61,66,80,91,46.01
"1894","YIL002C_mRNA",6750,7568.17,6261.04,9168.14,8071.87,7452,6975,10283.64,8831,130.46,154.4,168.45,201.83,203.86,219.16,125.26,185.33,100.25,126,145,159,177,188,198.99,118,166,84.58
"1895","YNL106C_mRNA",5683.58,6686.01,5386.99,6610.34,6717.81,5446,5778.9,6611,6509,240.88,325.2,393.04,227.85,362.17,350.74,207.1,495.68,158,219,298,362,189,322,317,193,440,136
