distance	region	strain	count_rep1	count_rep2	count_rep3	count_pool	fraction
66	Distance from stop (nt)	pab1Δpbp1Δ	58	72	21	151	7.59259063717926e-05
67	Distance from stop (nt)	pab1Δpbp1Δ	51	36	28	115	5.7824365779842e-05
68	Distance from stop (nt)	pab1Δpbp1Δ	61	49	14	124	6.23497509278297e-05
69	Distance from stop (nt)	pab1Δpbp1Δ	51	54	25	130	6.53666743598214e-05
70	Distance from stop (nt)	pab1Δpbp1Δ	70	48	25	143	7.19033417958036e-05
71	Distance from stop (nt)	pab1Δpbp1Δ	59	51	19	129	6.48638537878228e-05
72	Distance from stop (nt)	pab1Δpbp1Δ	51	64	30	145	7.29089829398008e-05
73	Distance from stop (nt)	pab1Δpbp1Δ	82	63	22	167	8.39710355237706e-05
74	Distance from stop (nt)	pab1Δpbp1Δ	75	48	31	154	7.74343680877884e-05
75	Distance from stop (nt)	pab1Δpbp1Δ	67	56	14	137	6.88864183638118e-05
76	Distance from stop (nt)	pab1Δpbp1Δ	67	64	28	159	7.99484709477816e-05
77	Distance from stop (nt)	pab1Δpbp1Δ	52	44	22	118	5.93328274958379e-05
78	Distance from stop (nt)	pab1Δpbp1Δ	80	50	20	150	7.54230857997939e-05
79	Distance from stop (nt)	pab1Δpbp1Δ	98	57	24	179	9.00048823877541e-05
80	Distance from stop (nt)	pab1Δpbp1Δ	64	64	20	148	7.44174446557967e-05
