sample,region,frame,count,fraction
pab1d_1,5utr,2,4399,0.000402993862382406
pab1d_1,5utr,0,3164,0.000289855099017488
pab1d_1,start,2,3380,0.00030964293131451
pab1d_1,stop,0,9263,0.000848586530404233
pab1d_1,5utr,1,3323,0.000304421142236129
pab1d_1,start,1,9051,0.000829165139446045
pab1d_1,extension,2,2199,0.000201451126023849
pab1d_1,distal_3utr,1,2621,0.000240110687270808
pab1d_1,stop,2,5252,0.000481137477888701
pab1d_1,extension,0,5253,0.000481229088223409
pab1d_1,extension,1,3930,0.00036002861540415
pab1d_1,distal_3utr,2,2268,0.000207772239118731
pab1d_1,distal_3utr,0,1805,0.000165356654148725
pab1d_2,start,0,146525,0.01092389661748
pab1d_2,cds,0,10777967,0.803531119294393
pab1d_2,cds,1,1758732,0.131118966359692
pab1d_2,cds,2,634998,0.0473410851684461
pab1d_2,distal_3utr,1,2345,0.000174827077754585
pab1d_2,5utr,0,6161,0.000459321802151812
pab1d_2,5utr,2,7451,0.000555495333198044
pab1d_2,start,1,32087,0.00239218611680656
pab1d_2,start,2,12118,0.000903434766835848
pab1d_2,stop,2,3847,0.00028680587126733
pab1d_2,extension,2,1521,0.000113395302884744
pab1d_2,extension,0,3291,0.000245354333855156
pab1d_2,distal_3utr,0,1799,0.000134121071590831
pab1d_2,distal_3utr,2,2008,0.000149702674682817
pab1d_2,stop,1,6304,0.000469982899004224
pab1d_2,stop,0,7791,0.000580843395644338
pab1d_2,5utr,1,6070,0.000452537467791186
pab1d_2,extension,1,2239,0.000166924446521329
pab1d_3,start,0,92939,0.0151566967178239
pab1d_3,start,2,10408,0.00169735955238502
pab1d_3,cds,0,4636735,0.756168951203685
pab1d_3,cds,2,366823,0.0598223023716881
pab1d_3,cds,1,980659,0.159928028562869
pab1d_3,5utr,2,2948,0.000480766329787763
pab1d_3,start,1,26615,0.00434043279080777
pab1d_3,5utr,1,2076,0.000338558650149049
pab1d_3,stop,1,1598,0.000260605357870029
pab1d_3,distal_3utr,0,869,0.000141718433034453
pab1d_3,distal_3utr,1,1054,0.000171888640297253
pab1d_3,extension,2,650,0.000106003430923353
pab1d_3,stop,2,1346,0.000219508643112052
pab1d_3,stop,0,1981,0.000323065841014097
pab1d_3,extension,0,1190,0.000194067819690447
pab1d_3,extension,1,876,0.000142860008444396
pab1d_3,distal_3utr,2,890,0.000145143159264284
pab1d_3,5utr,0,2220,0.000362042487153607
