sample	feature	imp_ave	imp_sd	sig
WT	aa_m01	3.56270169136952	1.08897365899617	p < 0.05
WT	aa_m02	1.26777251832023	1.2254880306661	ns
WT	l_utr3	3.76162405638311	1.36519475943747	p < 0.05
WT	nis_stop	-0.00847187156094254	0.885513119761023	ns
WT	nt_m01	-0.0957470038223191	1.34907847777181	ns
WT	nt_m02	0.681412511528002	0.940463236582849	ns
WT	nt_m03	0.439524877999625	0.994456523814985	ns
WT	nt_m04	0.126520220176733	1.22015907168517	ns
WT	nt_m05	-0.00690291705375856	1.05070271473863	ns
WT	nt_m06	0.483239987755741	1.17304500676715	ns
WT	nt_m07	-0.0212552888145029	0.852502078215542	ns
WT	nt_m08	-0.104198439597731	0.913143240501471	ns
WT	nt_m09	0.403071187512753	1.10123269485456	ns
WT	nt_m10	0.239442318167845	0.889488956477873	ns
WT	nt_m11	-0.12484894449663	1.16534366051413	ns
WT	nt_m12	0.309334169803795	0.920283416533547	ns
WT	nt_m13	0.100962930820568	1.02119872598179	ns
WT	nt_m14	-0.211379264215802	1.2008476317246	ns
WT	nt_m15	-0.0697255056440755	1.13772180332313	ns
WT	nt_m16	0.0803305579348817	1.03944596076633	ns
WT	nt_m17	0.0853988554761047	1.30964227019425	ns
WT	nt_m18	-0.00327003147240738	1.19236574510944	ns
WT	nt_p04	1.26065765182337	0.998522565854529	ns
WT	nt_p05	0.176519865465653	1.0672146208602	ns
WT	nt_p06	0.185131043007979	0.937529514568886	ns
WT	nt_p07	-0.0496562614050353	0.897055001065163	ns
WT	nt_p08	0.26885273593479	0.921421797240636	ns
WT	nt_p09	0.482610900073327	1.10907463605162	ns
WT	nt_p10	-0.156222296522572	1.11987230588599	ns
WT	nt_p11	-0.342573972414176	0.905446838270495	ns
WT	nt_p12	-0.119018223296313	1.19682928176235	ns
WT	nt_p13	0.462029892822904	0.911114468617057	ns
WT	nt_p14	-0.17902816828867	0.904704303961455	ns
WT	nt_p15	0.176520381961257	0.932548819590026	ns
WT	nt_p16	0.0688660153911237	0.908003134876376	ns
WT	random_factor	-0.43246628283983	0.984322531488812	ns
WT	random_num	-0.119038402929181	1.04443063544051	ns
WT	stop_codon	3.044475078646	1.43742789740408	p < 0.05
WT	tunnel_central_aromatic	-0.321022298595437	1.14128487197346	ns
WT	tunnel_central_hydrophilic	0.24260374752375	1.04690182577912	ns
WT	tunnel_central_hydrophobic	0.597567318062246	1.06407049367008	ns
WT	tunnel_central_neg_charge	0.349805207368513	1.02271582582091	ns
WT	tunnel_central_neutral	0.47483736868288	0.965927156502307	ns
WT	tunnel_central_no_charge	0.272191718220276	0.910325689595435	ns
WT	tunnel_central_nonpolar	-0.0838962130573589	1.53225334293494	ns
WT	tunnel_central_polar	0.15184573308657	1.13084252244179	ns
WT	tunnel_central_pos_charge	-0.045224861339313	1.02459978228816	ns
WT	tunnel_central_v_hydrophobic	0.329470506728496	0.934919832661516	ns
WT	tunnel_constriction_aromatic	0.0027871406075495	1.1935155089148	ns
WT	tunnel_constriction_hydrophilic	0.226164131228559	1.08932816293374	ns
WT	tunnel_constriction_hydrophobic	0.250260802941536	1.03721048334139	ns
WT	tunnel_constriction_neg_charge	-0.233329191016107	1.03182931699259	ns
WT	tunnel_constriction_neutral	0.0261923288283585	0.885627307504219	ns
WT	tunnel_constriction_no_charge	0.0797139053002545	0.980913710648472	ns
WT	tunnel_constriction_nonpolar	0.564711381265009	1.04019711670685	ns
WT	tunnel_constriction_polar	0.155821037197578	0.967926050140756	ns
