gene	YPA_WT_pre_shift.TE	YPA_4Gts_pre_shift.TE	YPA_WT_0h.TE	YPA_4Gts_0h.TE	YPA_WT_2h.TE	YPA_4Gts_2h.TE
YPL206C	2.198231693	2.952159566	2.442780312	3.206735664	3.054385524	4.528117795
YDL060W	1.144279967	1.027722983	1.110502719	0.72133077	0.841645574	0.772940527
YNR052C	1.726934238	1.131036974	1.733724399	1.185994555	1.263312822	1.290789676
YHR032W	1.200788735	0.737896863	1.201281214	0.647673754	0.744617922	0.756596897
YEL032W	0.981891004	0.853936469	0.978572059	0.746583411	0.874921925	0.769882762
YOL076W	0.841605619	0.765297946	0.64928465	0.69049475	0.562125776	0.674922707
YHR203C	1.491602106	1.399873328	1.361700112	1.16040539	1.876709665	1.72532854
YML112W	1.549347494	1.172574154	2.059993321	1.33137889	1.734476149	1.635389635
YKL207W	1.105930665	1.224665863	0.956831666	1.221973347	1.209611393	1.576035726
YGL241W	0.758962681	0.990763876	0.876883226	0.776000499	0.595667149	1.302260935
YPR176C	1.381158523	1.388633454	1.575888892	1.279215897	1.049531357	1.817508391
YDR057W	1.080300611	0.98310333	0.826522544	1.221576808	0.635909989	0.780981989
YJL036W	1.183175938	1.489690694	1.483150765	1.769946177	1.549757754	1.356123764
YER009W	2.187327026	2.320053513	2.087025305	2.306579812	2.74223088	3.793690288
YLR115W	0.712998403	0.606167127	0.663257297	0.748270841	0.680889995	0.573474697
YGL114W	0.823411861	0.827876489	0.867045851	0.706287205	0.707470193	0.756560064
YER167W	0.694385431	0.478126025	0.527625086	0.477977574	0.491572332	0.29630753
YMR104C	0.807376904	0.659630622	0.842347467	0.776066267	0.868122462	0.904265374
YDL195W	1.587194925	1.568610497	1.480240942	1.424728322	1.781735794	1.9021767
YNL199C	1.020767321	0.958078882	1.051459369	1.185091357	1.307919032	0.635903738
YCR026C	0.747821576	0.546538801	0.616845181	0.6052234	0.626798631	0.427631027
YMR246W	1.16773509	1.186954742	1.180889094	0.926894572	1.131989271	0.929980706
YNL317W	0.875597495	1.015277621	1.079379639	0.903038056	0.975820955	1.087724269
YLL019C	0.657500607	0.508081721	0.921390606	0.683392063	0.744202768	0.603241261
YDR177W	2.417721444	1.890977884	2.800099222	2.374249204	2.242355237	2.483239844
YHR052W	1.239945034	1.258661943	0.790164008	0.967847873	0.909555448	1.013820066
YKR026C	1.376006425	1.476052773	0.980642768	1.405650026	0.951089273	1.653661366
YJR043C	1.263723803	1.258372263	1.042137121	1.013303755	1.068228243	1.174810514
YKL060C	1.97347303	1.930123344	2.04232873	1.894897418	2.572669619	3.4846894
YCR044C	0.817657313	0.702962381	0.807608985	0.651762624	0.749377355	0.752871526
YKL035W	1.607496949	1.516581461	1.744202865	1.563948235	2.163302666	2.721903473
YNL073W	0.672463099	0.534808212	0.622668062	0.543852689	0.665385577	0.464946753
YMR280C	0.495146563	0.559790602	0.609740188	0.60077548	0.568573097	0.971888698
YJL014W	1.661842996	1.804654611	1.438195103	1.830862498	1.77028045	1.688057873
YGR217W	0.269304115	0.302033267	0.253901277	0.236421999	0.316428954	0.256035195
YOR174W	0.933379728	0.675122287	0.94815128	0.895908808	0.513897014	0.911145654
YPR149W	1.681364096	1.120855534	1.727218118	1.439159876	1.905812169	3.640132576
YNL015W	3.154752145	3.051552738	2.974750263	3.811594037	3.673563803	5.882484222
YCR084C	1.120175707	1.117770553	0.948862678	1.009184634	1.374375735	1.457115256
YHR178W	0.649013656	0.699095702	0.543792646	0.686091084	0.456899219	0.449192255
YLR283W	0.828104117	0.700461123	0.843837048	1.039472288	0.689059906	1.168135454
